Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
GradientBoostingRegressor,0.7536373989182834,0.8196727352907023,0.4807984300900097,0.0696871280670166
RandomForestRegressor,0.7479966656576117,0.8155439511514477,0.4862714748021124,0.1895902156829834
BaggingRegressor,0.7376731374398857,0.8079875542085762,0.49613176426928024,0.025901317596435547
XGBRegressor,0.7367199844128679,0.8072898854980786,0.4970322833986739,1.3138017654418945
ExtraTreesRegressor,0.7275358815919664,0.8005675009590681,0.5056270607925156,0.14261889457702637
HistGradientBoostingRegressor,0.7191360572844852,0.7944191759504994,0.5133619129820013,0.24233293533325195
LGBMRegressor,0.6931909060784319,0.775428395170811,0.5365494631070469,0.049428462982177734
AdaBoostRegressor,0.5003888464997837,0.6343052381596355,0.6846864183628611,0.04810738563537598
MLPRegressor,0.4324762117194296,0.5845959900214381,0.729739215794819,0.3297414779663086
DecisionTreeRegressor,0.4276961927759432,0.5810972132689893,0.7328059182554315,0.007977485656738281
KNeighborsRegressor,0.4009064371924611,0.5614882169140695,0.7497612261699563,0.05148673057556152
ExtraTreeRegressor,0.3306729467894476,0.5100801981654719,0.7924919146200562,0.007965564727783203
SVR,0.327090447879257,0.5074579566951263,0.7946099468629327,0.013177156448364258
NuSVR,0.31510264382943365,0.49868337847309063,0.8016566424860658,0.014142036437988281
Lars,0.23219501564222678,0.43799841351132063,0.8487916804827255,0.008004426956176758
TransformedTargetRegressor,0.22798702997195786,0.43491834152586606,0.8511144205991744,0.008861780166625977
LinearRegression,0.22798702997195786,0.43491834152586606,0.8511144205991744,0.008970499038696289
Ridge,0.2111375889700814,0.4225852455348018,0.8603522164609997,0.006976127624511719
LassoLarsIC,0.198648726681401,0.41344391334411823,0.86713579932991,0.011958837509155273
ElasticNetCV,0.19233188609134588,0.40882024652046967,0.8705467918595793,0.08672595024108887
RidgeCV,0.1763803313344845,0.39714436623451954,0.8791014679642974,0.017940044403076172
SGDRegressor,0.16477798070377758,0.3886519240202908,0.8852717756938887,0.0069789886474609375
LassoCV,0.1612449190792593,0.3860658686044063,0.8871421879984327,0.13648486137390137
LassoLarsCV,0.16022558602731496,0.3853197588447357,0.8876810930948515,0.02292466163635254
BayesianRidge,0.1515693126833505,0.3789837237166792,0.8922444079816475,0.017297744750976562
HuberRegressor,0.1388694502350757,0.36968794811021,0.8988974510498495,0.03207540512084961
LinearSVR,0.08831020512503895,0.3326806656069873,0.924909408641258,0.011959552764892578
OrthogonalMatchingPursuitCV,-0.023006222745870053,0.25120163077364144,0.9797489084722487,0.008921146392822266
TweedieRegressor,-0.04251083321887528,0.2369250602212356,0.9890447429561485,0.013802766799926758
LarsCV,-0.07005657233552975,0.2167627150946122,1.0020260680298143,0.043914079666137695
OrthogonalMatchingPursuit,-0.11350933570637989,0.18495708417368073,1.0221687085410875,0.007022380828857422
ElasticNet,-0.3782167769973892,-0.008797847080563193,1.1371936257993818,0.007965564727783203
DummyRegressor,-0.3782167769973892,-0.008797847080563193,1.1371936257993818,0.005029201507568359
LassoLars,-0.3782167769973892,-0.008797847080563193,1.1371936257993818,0.007972240447998047
Lasso,-0.3782167769973892,-0.008797847080563193,1.1371936257993818,0.0099639892578125
QuantileRegressor,-0.41937791105755484,-0.038926099846251505,1.154050123274442,2.9709670543670654
PassiveAggressiveRegressor,-0.44064573089010084,-0.054493266940176976,1.1626640627463016,0.007033109664916992
KernelRidge,-2.312122205494415,-1.4243368720629221,1.7629046639729853,0.013988971710205078
GaussianProcessRegressor,-8.78375107430381,-6.161302332737841,3.029900367853417,0.062436819076538086
RANSACRegressor,-1940627908.3811727,-1420459602.773848,42672.372265021346,0.15941357612609863
